Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Temperature,Humidity,MonthlyHours,TariffRate,ElectricityBill,Predicted_ElectricityBill
16,23,2,6,1,0,6.559,73.8,384,8.4,3225.6,23927648.0
19,22,2,3,1,0,6.414,74.5,488,7.8,3806.4,28119420.0
7,20,2,6,7,0,6.313,74.5,416,7.7,3203.2,23931380.0
7,22,3,21,1,0,6.121,75.0,475,9.2,4370.0,32514258.0
11,23,2,11,1,0,5.921,75.7,457,9.2,4204.4,31342406.0
13,22,0,18,1,0,5.853,76.9,471,7.4,3485.4,25681428.0
23,22,3,20,12,0,5.641,77.7,755,8.5,6417.5,35841900.0
22,23,0,21,1,0,5.496,78.2,492,8.5,4182.0,30813948.0
8,20,2,8,1,0,5.678,78.1,546,8.5,4641.0,34486980.0
10,23,0,18,7,0,5.4910000000000005,77.3,578,7.6,4392.8,32680680.0
16,22,3,14,1,0,5.516,77.5,450,7.9,3555.0,26288542.0
5,19,2,20,1,0,5.471,76.7,493,9.2,4535.6,33894640.0
10,23,1,22,1,0,5.059,78.6,492,8.4,4132.8,30444658.0
11,22,3,19,1,0,4.968,78.8,565,7.9,4463.5,33003116.0
18,22,1,3,12,0,4.975,78.9,414,8.2,3394.8,25355836.0
21,23,3,5,1,0,4.897,79.1,594,8.9,5286.6,35841900.0
9,21,3,6,1,0,5.02,79.7,349,8.8,3071.2,23074176.0
17,22,0,3,1,0,5.407,78.5,355,7.6,2698.0,19751146.0
12,23,0,18,1,0,5.169,77.9,467,8.5,3969.5,29233096.0
13,22,1,21,12,0,5.081,77.7,646,8.5,5491.0,35841900.0
23,23,0,15,1,0,5.041,77.2,476,9.2,4379.2,32689368.0
20,22,3,7,12,0,5.034,76.9,659,7.4,4876.6,35841900.0
23,22,2,14,1,0,4.896,76.6,631,8.1,5111.1,35841900.0
9,22,3,3,1,0,4.805,76.2,395,8.1,3199.5,23799956.0
19,22,2,11,1,0,4.753,75.7,480,8.2,3936.0,29038184.0
19,23,0,21,1,0,4.901,74.4,678,8.9,6034.2,35841900.0
22,23,2,11,1,0,5.202999999999999,74.1,664,8.1,5378.4,35841900.0
7,22,2,16,1,0,5.394,71.9,515,8.9,4583.5,34118930.0
21,22,0,19,1,0,5.156000000000001,74.0,509,8.1,4122.9,30366912.0
23,22,0,17,1,0,5.178999999999999,74.2,679,8.1,5499.9,35841900.0
23,23,3,18,1,0,4.934,72.9,564,8.4,4737.6,35243156.0
23,23,0,9,1,0,4.718,75.8,412,9.2,3790.4,28127104.0
18,22,2,18,1,0,5.546,74.0,468,8.1,3790.8,27890268.0
11,23,0,20,1,0,4.658,73.5,452,8.7,3932.4,29000014.0
5,21,3,17,1,0,4.382,76.9,447,9.1,4067.7,30287486.0
13,22,3,6,1,0,4.212,78.3,361,8.5,3068.5,22933538.0
14,22,2,4,1,0,4.308,77.2,442,8.3,3668.6,27153878.0
7,20,0,18,1,0,4.735,74.3,307,8.2,2517.4,18522550.0
15,22,0,20,1,0,4.769,75.6,494,8.2,4050.8,29786032.0
22,22,3,17,1,0,4.92,73.7,699,9.1,6360.9,35841900.0
6,23,2,16,1,0,4.408,76.7,549,7.7,4227.3,31280622.0
8,17,3,5,1,0,4.29,77.0,385,8.3,3195.5,23855286.0
9,22,0,10,7,0,4.303999999999999,76.0,491,8.5,4173.5,31007704.0
10,21,1,22,1,0,4.513,74.6,646,7.6,4909.6,35841900.0
12,23,2,9,1,0,4.489,74.3,546,8.9,4859.4,35841900.0
21,23,2,6,1,0,4.356,72.3,636,7.8,4960.8,35841900.0
19,22,0,10,12,0,4.478,72.2,401,8.7,3488.7,26121984.0
8,22,2,8,1,0,4.583,71.0,360,7.6,2736.0,20247354.0
13,22,2,8,1,0,4.794,72.0,539,7.8,4204.2,31145774.0
14,22,2,6,12,0,4.8069999999999995,73.1,577,9.3,5366.1,35841900.0
5,23,3,15,1,0,4.757,73.5,673,8.5,5720.5,35841900.0
5,21,0,15,1,0,4.5089999999999995,74.5,443,8.7,3854.1,28490880.0
11,22,1,7,1,0,4.346,74.8,398,8.3,3303.4,24445056.0
13,22,1,4,12,0,4.718,73.7,653,9.3,6072.9,35841900.0
7,21,0,3,1,0,4.704,71.8,421,8.4,3536.4,26202772.0
10,19,0,3,1,0,4.624,74.1,421,8.8,3704.8,27454496.0
15,22,2,16,1,0,4.629,74.8,650,8.8,5720.0,35841900.0
18,22,2,15,1,0,4.599,74.0,484,7.9,3823.6,28185504.0
22,23,2,21,1,0,4.524,74.7,737,8.2,6043.4,35841900.0
18,22,2,10,1,0,4.575,74.5,405,9.2,3726.0,27760644.0
7,23,3,11,1,0,5.124,73.7,458,8.4,3847.2,28469374.0
16,22,1,11,1,0,5.836,71.3,466,7.6,3541.6,26157536.0
14,23,1,13,1,0,5.996,69.85,456,8.4,3830.4,28246300.0
15,22,3,9,1,0,6.22,68.81,394,9.2,3624.8,27125096.0
8,22,1,5,1,0,6.702999999999999,68.01,263,8.2,2156.6,15608410.0
10,18,2,9,1,0,6.992999999999999,66.14,490,9.2,4508.0,33746210.0
8,19,2,20,1,0,7.54,64.21,476,7.7,3665.2,27133768.0
19,22,1,3,1,0,8.22,61.9,577,7.7,4442.9,33015138.0
7,23,0,17,1,0,9.49,59.3,533,7.8,4157.4,30684860.0
16,23,1,16,1,0,10.65,56.03,495,9.3,4603.5,34526710.0
8,23,0,4,1,0,11.06,53.52,399,7.7,3072.3,22671736.0
12,22,0,14,12,0,12.4,53.26,604,8.7,5254.8,35841900.0
18,22,3,9,1,0,13.08,54.36,653,8.7,5681.1,35841900.0
19,23,2,14,1,0,14.38,54.42,512,8.2,4198.4,30936426.0
7,22,2,11,7,0,15.02,56.46,468,8.2,3837.6,28455658.0
19,22,3,11,1,0,15.55,58.7,563,8.7,4898.1,35841900.0
17,23,1,12,1,0,15.56,59.23,496,8.7,4315.2,31876398.0
20,23,0,15,1,0,15.49,59.3,500,8.4,4200.0,30936454.0
21,22,1,8,1,0,15.57,58.06,502,8.4,4216.8,31158170.0
9,23,3,14,1,0,15.65,58.7,616,7.7,4743.2,35316240.0
13,23,3,8,12,0,15.73,59.33,589,8.1,4770.9,35551700.0
7,20,2,12,7,0,15.68,58.6,595,8.4,4998.0,35841900.0
9,23,3,17,7,0,15.7,55.29,487,7.9,3847.3,28486530.0
21,22,0,9,1,0,15.75,52.45,512,7.4,3788.8,27915550.0
22,22,3,9,1,0,15.83,54.99,405,9.2,3726.0,27731480.0
8,18,3,19,1,0,15.79,56.66,388,8.4,3259.2,24260458.0
6,22,3,10,1,0,15.72,55.86,437,9.2,4020.4,29883086.0
20,23,3,5,1,0,15.8,54.06,656,8.5,5576.0,35841900.0
7,21,0,4,1,0,15.74,55.56,300,8.4,2520.0,18573528.0
6,18,2,7,7,0,15.72,56.69,523,7.6,3974.8,29579448.0
14,23,2,4,1,0,15.64,57.26,565,8.4,4746.0,35234796.0
17,22,1,6,1,0,15.69,57.96,561,7.7,4319.7,31967126.0
20,23,3,11,1,0,15.69,58.93,628,9.2,5777.6,35841900.0
11,23,3,8,1,0,15.6,58.7,560,8.2,4592.0,33962732.0
13,22,0,7,1,0,15.39,57.6,425,8.4,3570.0,26312746.0
14,22,2,14,12,0,15.34,58.7,632,7.8,4929.6,35841900.0
22,22,3,5,1,0,15.33,59.23,560,9.1,5096.0,35841900.0
15,23,1,13,1,0,15.48,57.46,389,8.1,3150.9,23237724.0
6,21,3,19,1,0,15.54,58.3,576,8.9,5126.4,35841900.0
6,19,1,4,1,0,15.53,58.8,340,7.6,2584.0,18936534.0
7,18,3,4,1,0,15.48,57.73,417,8.4,3502.8,26084738.0
7,23,2,13,1,0,15.47,58.23,503,9.3,4677.9,35025388.0
22,23,1,6,1,0,15.44,59.07,561,8.5,4768.5,35456504.0
18,23,2,13,1,0,15.35,59.3,588,9.3,5468.4,35841900.0
7,21,3,11,1,0,15.34,59.0,584,8.1,4730.4,35133776.0
21,22,2,21,1,0,15.11,59.53,771,8.8,6784.8,35841900.0
22,22,3,4,1,0,14.93,60.83,643,8.2,5272.6,35841900.0
18,22,0,16,1,0,14.71,61.87,552,7.8,4305.6,31795012.0
13,23,1,8,12,0,14.48,63.27,683,8.8,6010.4,35841900.0
5,21,3,6,1,0,14.29,63.94,436,7.8,3400.8,25246988.0
8,23,2,17,1,0,14.09,64.87,681,9.2,6265.2,35841900.0
14,22,2,21,12,0,13.89,66.11,668,8.7,5811.6,35841900.0
15,22,1,14,1,0,13.79,66.74,381,8.8,3352.8,24844670.0
12,22,3,14,1,0,13.54,66.71,643,9.3,5979.9,35841900.0
15,23,1,22,1,0,12.51,68.35,495,7.8,3861.0,28359430.0
6,22,3,9,1,0,12.06,70.2,544,8.2,4460.8,32969012.0
23,22,3,20,1,0,11.75,70.7,675,7.7,5197.5,35841900.0
20,23,1,18,1,0,11.61,70.7,665,8.4,5586.0,35841900.0
10,17,1,10,1,0,11.5,70.6,243,9.3,2259.9,16894942.0
23,22,2,12,12,0,11.43,70.7,735,7.8,5733.0,35841900.0
18,22,2,8,1,0,11.42,71.2,587,9.1,5341.7,35841900.0
14,22,0,3,1,0,11.69,71.1,287,7.9,2267.3,16281884.0
23,22,2,18,1,0,12.05,69.82,756,7.4,5594.4,35841900.0
12,23,0,14,1,0,11.87,69.98,460,8.1,3726.0,27351490.0
17,22,3,7,1,0,11.61,71.2,480,9.2,4416.0,32927846.0
6,22,1,11,1,0,11.5,72.0,345,8.2,2829.0,21004496.0
7,23,3,3,1,0,11.43,72.0,545,9.1,4959.5,35841900.0
6,22,1,20,1,0,11.29,72.2,407,8.8,3581.6,26552252.0
15,23,2,7,1,0,11.49,73.1,389,8.9,3462.1,25726678.0
17,22,1,13,1,0,12.24,70.1,519,8.2,4255.8,31408170.0
20,22,3,20,12,0,11.84,68.78,662,8.1,5362.2,35841900.0
12,23,0,4,1,0,12.2,68.78,302,8.3,2506.6,18449562.0
12,23,0,16,1,0,13.1,65.44,582,8.5,4947.0,35841900.0
23,22,0,8,1,0,13.2,63.84,346,8.8,3044.8,22653798.0
12,22,1,22,1,0,13.18,63.97,506,8.9,4503.4,33420662.0
6,22,1,4,1,0,12.64,66.77,487,8.1,3944.7,29116238.0
7,18,0,21,7,0,12.39,68.04,476,8.5,4046.0,29962150.0
16,22,0,8,1,0,12.24,69.18,373,9.1,3394.3,25171670.0
18,22,1,16,1,0,12.11,69.94,599,8.2,4911.8,35841900.0
8,20,0,7,7,0,12.07,70.7,422,9.3,3924.6,29345692.0
7,20,2,11,1,0,11.99,70.8,351,7.6,2667.6,19699578.0
17,23,1,12,1,0,11.32,74.7,512,8.5,4352.0,32129484.0
15,23,3,4,1,0,11.37,74.8,569,7.6,4324.4,31982306.0
17,23,3,19,1,0,11.41,74.1,776,8.2,6363.2,35841900.0
17,22,0,13,1,0,11.01,75.8,467,8.1,3782.7,27752034.0
15,22,2,6,12,0,10.74,77.3,696,8.4,5846.4,35841900.0
20,22,1,6,1,0,10.47,78.2,357,8.3,2963.1,21959814.0
18,22,0,7,1,0,10.31,79.2,325,8.9,2892.5,21655568.0
20,22,1,8,12,0,10.63,79.3,717,8.9,6381.3,35841900.0
23,22,2,11,1,0,10.84,78.4,419,9.1,3812.9,28327672.0
5,23,0,4,1,0,10.94,78.1,478,7.8,3728.4,27494606.0
12,23,3,16,1,0,11.12,77.9,548,7.6,4164.8,30725926.0
8,23,3,3,1,0,11.02,77.5,508,8.7,4419.6,32719718.0
10,20,0,7,1,0,10.5,78.9,299,7.8,2332.2,16778592.0
17,22,3,18,1,0,10.22,79.8,537,8.2,4403.4,32446256.0
11,22,2,10,1,0,10.42,81.3,473,9.2,4351.6,32408342.0
19,23,2,5,1,0,10.86,80.0,449,7.9,3547.1,26162118.0
13,23,3,21,1,0,11.17,77.3,618,7.7,4758.6,35444844.0
22,23,0,22,1,0,11.1,75.6,540,8.2,4428.0,32671292.0
12,23,1,20,1,0,11.14,75.0,530,8.1,4293.0,31601738.0
19,23,2,6,1,0,11.21,75.2,578,8.8,5086.4,35841900.0
15,22,3,17,1,0,10.71,77.4,418,7.9,3302.2,24396816.0
10,22,0,12,7,0,10.7,77.7,406,7.4,3004.4,22316374.0
19,22,3,10,1,0,10.58,78.6,521,9.3,4845.3,35841900.0
5,18,3,9,1,0,10.59,79.5,458,7.9,3618.2,26913850.0
16,22,3,8,12,0,10.68,79.4,666,8.8,5860.8,35841900.0
7,17,3,14,1,0,10.52,79.8,325,9.2,2990.0,22711544.0
22,23,0,20,12,0,10.34,80.6,684,9.3,6361.2,35841900.0
19,23,0,14,1,0,10.18,81.7,491,9.1,4468.1,33281076.0
7,20,2,13,1,0,10.41,82.3,528,8.1,4276.8,31591646.0
