Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Temperature,Humidity,MonthlyHours,TariffRate,ElectricityBill
16,23,2,6,1,0,6.559,73.8,384,8.4,3225.6
19,22,2,3,1,0,6.414,74.5,488,7.8,3806.4
7,20,2,6,7,0,6.313,74.5,416,7.7,3203.2
7,22,3,21,1,0,6.121,75,475,9.2,4370
11,23,2,11,1,0,5.921,75.7,457,9.2,4204.4
13,22,0,18,1,0,5.853,76.9,471,7.4,3485.4
23,22,3,20,12,0,5.641,77.7,755,8.5,6417.5
22,23,0,21,1,0,5.496,78.2,492,8.5,4182
8,20,2,8,1,0,5.678,78.1,546,8.5,4641
10,23,0,18,7,0,5.491,77.3,578,7.6,4392.8
16,22,3,14,1,0,5.516,77.5,450,7.9,3555
5,19,2,20,1,0,5.471,76.7,493,9.2,4535.6
10,23,1,22,1,0,5.059,78.6,492,8.4,4132.8
11,22,3,19,1,0,4.968,78.8,565,7.9,4463.5
18,22,1,3,12,0,4.975,78.9,414,8.2,3394.8
21,23,3,5,1,0,4.897,79.1,594,8.9,5286.6
9,21,3,6,1,0,5.02,79.7,349,8.8,3071.2
17,22,0,3,1,0,5.407,78.5,355,7.6,2698
12,23,0,18,1,0,5.169,77.9,467,8.5,3969.5
13,22,1,21,12,0,5.081,77.7,646,8.5,5491
23,23,0,15,1,0,5.041,77.2,476,9.2,4379.2
20,22,3,7,12,0,5.034,76.9,659,7.4,4876.6
23,22,2,14,1,0,4.896,76.6,631,8.1,5111.1
9,22,3,3,1,0,4.805,76.2,395,8.1,3199.5
19,22,2,11,1,0,4.753,75.7,480,8.2,3936
19,23,0,21,1,0,4.901,74.4,678,8.9,6034.2
22,23,2,11,1,0,5.203,74.1,664,8.1,5378.4
7,22,2,16,1,0,5.394,71.9,515,8.9,4583.5
21,22,0,19,1,0,5.156,74,509,8.1,4122.9
23,22,0,17,1,0,5.179,74.2,679,8.1,5499.9
23,23,3,18,1,0,4.934,72.9,564,8.4,4737.6
23,23,0,9,1,0,4.718,75.8,412,9.2,3790.4
18,22,2,18,1,0,5.546,74,468,8.1,3790.8
11,23,0,20,1,0,4.658,73.5,452,8.7,3932.4
5,21,3,17,1,0,4.382,76.9,447,9.1,4067.7
13,22,3,6,1,0,4.212,78.3,361,8.5,3068.5
14,22,2,4,1,0,4.308,77.2,442,8.3,3668.6
7,20,0,18,1,0,4.735,74.3,307,8.2,2517.4
15,22,0,20,1,0,4.769,75.6,494,8.2,4050.8
22,22,3,17,1,0,4.92,73.7,699,9.1,6360.9
6,23,2,16,1,0,4.408,76.7,549,7.7,4227.3
8,17,3,5,1,0,4.29,77,385,8.3,3195.5
9,22,0,10,7,0,4.304,76,491,8.5,4173.5
10,21,1,22,1,0,4.513,74.6,646,7.6,4909.6
12,23,2,9,1,0,4.489,74.3,546,8.9,4859.4
21,23,2,6,1,0,4.356,72.3,636,7.8,4960.8
19,22,0,10,12,0,4.478,72.2,401,8.7,3488.7
8,22,2,8,1,0,4.583,71,360,7.6,2736
13,22,2,8,1,0,4.794,72,539,7.8,4204.2
14,22,2,6,12,0,4.807,73.1,577,9.3,5366.1
5,23,3,15,1,0,4.757,73.5,673,8.5,5720.5
5,21,0,15,1,0,4.509,74.5,443,8.7,3854.1
11,22,1,7,1,0,4.346,74.8,398,8.3,3303.4
13,22,1,4,12,0,4.718,73.7,653,9.3,6072.9
7,21,0,3,1,0,4.704,71.8,421,8.4,3536.4
10,19,0,3,1,0,4.624,74.1,421,8.8,3704.8
15,22,2,16,1,0,4.629,74.8,650,8.8,5720
18,22,2,15,1,0,4.599,74,484,7.9,3823.6
22,23,2,21,1,0,4.524,74.7,737,8.2,6043.4
18,22,2,10,1,0,4.575,74.5,405,9.2,3726
7,23,3,11,1,0,5.124,73.7,458,8.4,3847.2
16,22,1,11,1,0,5.836,71.3,466,7.6,3541.6
14,23,1,13,1,0,5.996,69.85,456,8.4,3830.4
15,22,3,9,1,0,6.22,68.81,394,9.2,3624.8
8,22,1,5,1,0,6.703,68.01,263,8.2,2156.6
10,18,2,9,1,0,6.993,66.14,490,9.2,4508
8,19,2,20,1,0,7.54,64.21,476,7.7,3665.2
19,22,1,3,1,0,8.22,61.9,577,7.7,4442.9
7,23,0,17,1,0,9.49,59.3,533,7.8,4157.4
16,23,1,16,1,0,10.65,56.03,495,9.3,4603.5
8,23,0,4,1,0,11.06,53.52,399,7.7,3072.3
12,22,0,14,12,0,12.4,53.26,604,8.7,5254.8
18,22,3,9,1,0,13.08,54.36,653,8.7,5681.1
19,23,2,14,1,0,14.38,54.42,512,8.2,4198.4
7,22,2,11,7,0,15.02,56.46,468,8.2,3837.6
19,22,3,11,1,0,15.55,58.7,563,8.7,4898.1
17,23,1,12,1,0,15.56,59.23,496,8.7,4315.2
20,23,0,15,1,0,15.49,59.3,500,8.4,4200
21,22,1,8,1,0,15.57,58.06,502,8.4,4216.8
9,23,3,14,1,0,15.65,58.7,616,7.7,4743.2
13,23,3,8,12,0,15.73,59.33,589,8.1,4770.9
7,20,2,12,7,0,15.68,58.6,595,8.4,4998
9,23,3,17,7,0,15.7,55.29,487,7.9,3847.3
21,22,0,9,1,0,15.75,52.45,512,7.4,3788.8
22,22,3,9,1,0,15.83,54.99,405,9.2,3726
8,18,3,19,1,0,15.79,56.66,388,8.4,3259.2
6,22,3,10,1,0,15.72,55.86,437,9.2,4020.4
20,23,3,5,1,0,15.8,54.06,656,8.5,5576
7,21,0,4,1,0,15.74,55.56,300,8.4,2520
6,18,2,7,7,0,15.72,56.69,523,7.6,3974.8
14,23,2,4,1,0,15.64,57.26,565,8.4,4746
17,22,1,6,1,0,15.69,57.96,561,7.7,4319.7
20,23,3,11,1,0,15.69,58.93,628,9.2,5777.6
11,23,3,8,1,0,15.6,58.7,560,8.2,4592
13,22,0,7,1,0,15.39,57.6,425,8.4,3570
14,22,2,14,12,0,15.34,58.7,632,7.8,4929.6
22,22,3,5,1,0,15.33,59.23,560,9.1,5096
15,23,1,13,1,0,15.48,57.46,389,8.1,3150.9
6,21,3,19,1,0,15.54,58.3,576,8.9,5126.4
6,19,1,4,1,0,15.53,58.8,340,7.6,2584
7,18,3,4,1,0,15.48,57.73,417,8.4,3502.8
7,23,2,13,1,0,15.47,58.23,503,9.3,4677.9
22,23,1,6,1,0,15.44,59.07,561,8.5,4768.5
18,23,2,13,1,0,15.35,59.3,588,9.3,5468.4
7,21,3,11,1,0,15.34,59,584,8.1,4730.4
21,22,2,21,1,0,15.11,59.53,771,8.8,6784.8
22,22,3,4,1,0,14.93,60.83,643,8.2,5272.6
18,22,0,16,1,0,14.71,61.87,552,7.8,4305.6
13,23,1,8,12,0,14.48,63.27,683,8.8,6010.4
5,21,3,6,1,0,14.29,63.94,436,7.8,3400.8
8,23,2,17,1,0,14.09,64.87,681,9.2,6265.2
14,22,2,21,12,0,13.89,66.11,668,8.7,5811.6
15,22,1,14,1,0,13.79,66.74,381,8.8,3352.8
12,22,3,14,1,0,13.54,66.71,643,9.3,5979.9
15,23,1,22,1,0,12.51,68.35,495,7.8,3861
6,22,3,9,1,0,12.06,70.2,544,8.2,4460.8
23,22,3,20,1,0,11.75,70.7,675,7.7,5197.5
20,23,1,18,1,0,11.61,70.7,665,8.4,5586
10,17,1,10,1,0,11.5,70.6,243,9.3,2259.9
23,22,2,12,12,0,11.43,70.7,735,7.8,5733
18,22,2,8,1,0,11.42,71.2,587,9.1,5341.7
14,22,0,3,1,0,11.69,71.1,287,7.9,2267.3
23,22,2,18,1,0,12.05,69.82,756,7.4,5594.4
12,23,0,14,1,0,11.87,69.98,460,8.1,3726
17,22,3,7,1,0,11.61,71.2,480,9.2,4416
6,22,1,11,1,0,11.5,72,345,8.2,2829
7,23,3,3,1,0,11.43,72,545,9.1,4959.5
6,22,1,20,1,0,11.29,72.2,407,8.8,3581.6
15,23,2,7,1,0,11.49,73.1,389,8.9,3462.1
17,22,1,13,1,0,12.24,70.1,519,8.2,4255.8
20,22,3,20,12,0,11.84,68.78,662,8.1,5362.2
12,23,0,4,1,0,12.2,68.78,302,8.3,2506.6
12,23,0,16,1,0,13.1,65.44,582,8.5,4947
23,22,0,8,1,0,13.2,63.84,346,8.8,3044.8
12,22,1,22,1,0,13.18,63.97,506,8.9,4503.4
6,22,1,4,1,0,12.64,66.77,487,8.1,3944.7
7,18,0,21,7,0,12.39,68.04,476,8.5,4046
16,22,0,8,1,0,12.24,69.18,373,9.1,3394.3
18,22,1,16,1,0,12.11,69.94,599,8.2,4911.8
8,20,0,7,7,0,12.07,70.7,422,9.3,3924.6
7,20,2,11,1,0,11.99,70.8,351,7.6,2667.6
17,23,1,12,1,0,11.32,74.7,512,8.5,4352
15,23,3,4,1,0,11.37,74.8,569,7.6,4324.4
17,23,3,19,1,0,11.41,74.1,776,8.2,6363.2
17,22,0,13,1,0,11.01,75.8,467,8.1,3782.7
15,22,2,6,12,0,10.74,77.3,696,8.4,5846.4
20,22,1,6,1,0,10.47,78.2,357,8.3,2963.1
18,22,0,7,1,0,10.31,79.2,325,8.9,2892.5
20,22,1,8,12,0,10.63,79.3,717,8.9,6381.3
23,22,2,11,1,0,10.84,78.4,419,9.1,3812.9
5,23,0,4,1,0,10.94,78.1,478,7.8,3728.4
12,23,3,16,1,0,11.12,77.9,548,7.6,4164.8
8,23,3,3,1,0,11.02,77.5,508,8.7,4419.6
10,20,0,7,1,0,10.5,78.9,299,7.8,2332.2
17,22,3,18,1,0,10.22,79.8,537,8.2,4403.4
11,22,2,10,1,0,10.42,81.3,473,9.2,4351.6
19,23,2,5,1,0,10.86,80,449,7.9,3547.1
13,23,3,21,1,0,11.17,77.3,618,7.7,4758.6
22,23,0,22,1,0,11.1,75.6,540,8.2,4428
12,23,1,20,1,0,11.14,75,530,8.1,4293
19,23,2,6,1,0,11.21,75.2,578,8.8,5086.4
15,22,3,17,1,0,10.71,77.4,418,7.9,3302.2
10,22,0,12,7,0,10.7,77.7,406,7.4,3004.4
19,22,3,10,1,0,10.58,78.6,521,9.3,4845.3
5,18,3,9,1,0,10.59,79.5,458,7.9,3618.2
16,22,3,8,12,0,10.68,79.4,666,8.8,5860.8
7,17,3,14,1,0,10.52,79.8,325,9.2,2990
22,23,0,20,12,0,10.34,80.6,684,9.3,6361.2
19,23,0,14,1,0,10.18,81.7,491,9.1,4468.1
7,20,2,13,1,0,10.41,82.3,528,8.1,4276.8
14,22,3,20,1,0,10.41,81.4,742,7.6,5639.2
16,23,1,22,12,0,10.39,81.5,768,9.3,7142.4
10,19,0,10,1,0,10.16,81.9,503,8.7,4376.1
7,17,1,18,7,0,9.97,82.8,536,9.3,4984.8
9,19,1,12,1,0,10.03,83.8,472,7.4,3492.8
15,22,1,19,1,0,9.98,83,634,7.6,4818.4
15,23,2,8,1,0,9.74,82.8,384,8.4,3225.6
12,22,2,11,1,0,9.54,83.7,438,8.5,3723
14,22,1,10,12,0,9.53,83.9,701,8.1,5678.1
15,22,2,16,1,0,9.56,84.1,462,8.3,3834.6
9,23,2,7,1,0,9.58,84.5,601,7.9,4747.9
19,22,0,10,1,0,9.44,84.1,408,7.4,3019.2
12,22,2,6,1,0,9.4,84.4,463,8.4,3889.2
6,23,2,19,7,0,9.38,84.6,602,8.4,5056.8
23,22,0,12,1,0,9.16,84.7,635,7.7,4889.5
23,23,0,22,1,0,9.06,85.6,563,7.7,4335.1
18,23,3,12,1,0,9.17,85.8,726,8.9,6461.4
7,20,1,16,1,0,9.46,86.2,412,8.8,3625.6
7,21,3,22,1,0,9.74,85.4,675,7.9,5332.5
11,22,2,13,1,0,9.8,84.4,385,9.2,3542
13,22,0,21,12,0,9.58,83.9,744,7.6,5654.4
13,22,1,18,1,0,9.51,83.7,410,7.8,3198
13,23,2,14,12,0,9.44,83.2,591,7.6,4491.6
7,23,1,14,1,0,9.18,82.5,521,8.8,4584.8
18,23,2,10,1,0,8.96,83.4,596,8.8,5244.8
22,23,2,4,1,0,8.71,83.9,415,8.3,3444.5
16,23,0,8,1,0,8.52,85.1,503,7.8,3923.4
7,17,3,17,1,0,8.43,85.4,526,7.9,4155.4
13,22,0,12,1,0,8.44,85.9,377,8.9,3355.3
14,22,2,6,1,0,8.69,86.7,376,8.8,3308.8
17,23,3,21,1,0,9.02,86.7,724,8.9,6443.6
11,22,2,12,12,0,9.17,86.9,707,8.1,5726.7
11,23,0,4,1,0,10.48,87,365,8.7,3175.5
5,19,2,8,1,0,11.13,83.5,308,8.3,2556.4
16,23,3,5,1,0,11.68,81.7,543,8.7,4724.1
6,22,1,9,1,0,12.22,78,355,8.3,2946.5
6,21,2,4,7,0,12.61,74.8,502,7.8,3915.6
5,19,2,16,1,0,13.07,72.7,455,8.3,3776.5
9,19,0,13,7,0,13.61,70.2,543,7.9,4289.7
12,23,1,7,1,0,14,69.22,461,8.1,3734.1
8,17,1,8,1,0,14.55,64.11,412,8.8,3625.6
15,22,3,16,12,0,14.94,58.46,633,8.4,5317.2
6,19,2,15,1,0,15.08,57.23,480,9.1,4368
9,17,0,11,7,0,15.18,55.83,348,8.7,3027.6
20,22,2,6,1,0,15.28,56.49,623,7.8,4859.4
12,22,3,9,1,0,15.27,55.93,465,8.3,3859.5
5,18,0,14,1,0,15.21,55.69,371,8.3,3079.3
21,22,1,12,1,0,15.18,57.2,561,7.9,4431.9
20,22,2,9,1,0,15.11,57.86,673,8.8,5922.4
7,18,1,15,1,0,15.1,58.33,535,7.4,3959
12,22,3,6,12,0,15.26,58.8,513,9.1,4668.3
8,17,1,4,7,0,15.15,60.87,460,7.9,3634
20,23,2,12,1,0,15.23,60.53,483,8.2,3960.6
7,17,2,10,1,0,15.22,60.2,370,8.4,3108
11,23,3,18,1,0,15.22,59.83,678,8.4,5695.2
7,23,0,19,1,0,15.33,59.16,459,7.7,3534.3
22,23,3,19,12,0,15.41,58.13,717,7.6,5449.2
21,22,2,15,1,0,15.43,58,617,8.8,5429.6
5,22,3,9,1,0,15.56,56.03,488,9.3,4538.4
22,22,2,20,1,0,15.59,55.73,614,7.9,4850.6
21,23,3,13,1,0,15.47,56.29,556,7.4,4114.4
6,18,0,9,1,0,15.55,55.99,301,8.7,2618.7
9,20,2,19,1,0,15.57,56.53,569,9.1,5177.9
9,21,3,22,1,0,15.64,55.35,527,8.8,4637.6
16,22,1,3,1,0,15.59,55.76,322,7.8,2511.6
16,23,1,21,1,0,15.58,57.03,712,7.6,5411.2
6,18,0,17,1,0,15.49,57.19,442,8.2,3624.4
19,23,1,17,12,0,15.45,57.86,509,8.2,4173.8
11,23,3,20,1,0,15.36,57.72,648,8.9,5767.2
11,22,2,14,1,0,15.38,58.02,394,8.8,3467.2
15,22,2,14,1,0,15.37,58.59,487,9.2,4480.4
21,23,2,5,1,0,15.23,59.76,417,8.4,3502.8
10,23,2,19,1,0,15.23,61.12,504,8.3,4183.2
11,22,3,4,1,0,15.24,61.63,503,8.7,4376.1
22,22,3,4,1,0,15.19,61.72,503,7.8,3923.4
15,22,2,10,12,0,15.17,61.76,514,8.5,4369
23,23,2,20,1,0,15.22,59.95,741,7.6,5631.6
21,23,1,8,1,0,15.17,61.92,407,7.8,3174.6
13,23,3,17,1,0,15.02,62.32,522,9.1,4750.2
18,22,2,14,1,0,14.9,61.82,506,7.6,3845.6
13,22,1,3,1,0,14.81,61.79,420,8.8,3696
22,23,0,15,12,0,14.68,62.05,735,7.4,5439
13,23,2,21,12,0,14.54,64.02,577,9.1,5250.7
15,22,1,14,1,0,14.38,64.55,397,9.1,3612.7
21,23,3,12,1,0,14.23,65.55,640,9.2,5888
13,23,2,9,1,0,14.11,65.79,395,8.9,3515.5
20,22,3,7,12,0,14.03,66.72,626,7.6,4757.6
14,23,1,13,12,0,13.95,67.52,749,7.4,5542.6
8,20,3,13,7,0,13.87,68.59,594,8.4,4989.6
7,17,2,16,7,0,13.74,69.46,570,8.9,5073
23,22,1,16,12,0,13.55,69.9,719,9.2,6614.8
12,23,1,5,1,0,13.43,69.86,468,9.2,4305.6
18,23,1,11,1,0,13.35,69.86,589,8.2,4829.8
23,23,3,13,1,0,13.2,70.5,689,7.6,5236.4
12,23,3,17,12,0,13.42,68.89,802,9.1,7298.2
11,22,2,20,1,0,13.55,68.12,650,9.1,5915
17,22,0,10,1,0,13.42,68.52,308,8.4,2587.2
21,23,3,19,1,0,13.3,69.03,743,8.3,6166.9
15,23,0,17,1,0,13.33,68.72,528,8.8,4646.4
8,22,3,11,1,0,13.45,68.59,600,7.8,4680
14,22,0,6,1,0,13.47,66.99,512,8.8,4505.6
18,22,2,7,1,0,13.29,66.99,491,8.5,4173.5
22,22,1,11,1,0,13.15,66.42,486,8.8,4276.8
8,23,0,5,1,0,13.03,66.62,267,8.3,2216.1
7,20,1,11,1,0,12.93,67.29,299,8.7,2601.3
23,22,1,10,1,0,12.88,67.46,449,8.7,3906.3
11,23,0,9,12,0,12.86,67.76,602,8.7,5237.4
12,23,2,20,12,0,12.87,67.96,713,9.3,6630.9
17,23,1,20,1,0,12.92,68.52,626,8.7,5446.2
9,17,3,5,7,0,12.96,68.62,383,8.5,3255.5
12,22,0,3,1,0,12.88,69.33,246,8.3,2041.8
19,23,2,4,1,0,12.77,69.86,564,8.9,5019.6
19,22,3,14,1,0,12.82,70.1,527,8.2,4321.4
15,23,3,19,1,0,12.75,70.4,515,9.1,4686.5
8,18,3,19,1,0,12.54,71.5,424,7.4,3137.6
11,22,3,14,1,0,12.23,72.9,427,7.4,3159.8
17,23,1,9,1,0,12.19,72.8,568,8.8,4998.4
14,22,2,14,1,0,12.31,72.6,647,9.3,6017.1
18,22,2,15,1,0,12.08,74,474,7.8,3697.2
21,23,3,7,1,0,12.16,74,485,7.8,3783
23,22,2,4,1,0,12.07,74.1,426,9.3,3961.8
7,20,0,5,1,0,11.48,76.8,192,8.2,1574.4
13,22,0,5,1,0,11.45,77.7,408,7.8,3182.4
22,23,0,21,1,0,11.8,76.6,717,9.1,6524.7
6,23,0,10,7,0,12.23,75.1,576,8.9,5126.4
23,23,1,13,1,0,12.39,71,662,8.1,5362.2
15,22,0,8,1,0,12.42,71.4,403,7.8,3143.4
22,23,0,15,1,0,12.4,71.5,691,8.2,5666.2
17,22,0,16,12,0,11.84,73.4,518,8.8,4558.4
5,20,0,8,1,0,11.51,73,311,9.1,2830.1
10,18,3,9,1,0,11.35,73.6,369,8.2,3025.8
14,23,0,19,1,0,11.27,73.8,585,8.2,4797
20,23,2,12,1,0,11.33,74.5,615,8.5,5227.5
20,22,3,3,12,0,11.44,75,496,7.8,3868.8
7,19,3,5,1,0,12.26,75.5,470,7.4,3478
21,22,2,3,1,0,13.08,70.9,601,9.2,5529.2
14,23,1,19,1,0,12.78,71.8,608,8.1,4924.8
13,23,3,6,1,0,12.34,73.2,536,7.4,3966.4
16,23,1,6,1,0,12.2,73.8,505,8.4,4242
17,23,3,12,1,0,12.04,74.7,622,8.2,5100.4
10,23,2,11,1,0,11.96,74.9,404,7.7,3110.8
10,20,2,8,1,0,11.92,75.2,427,7.8,3330.6
11,23,0,20,1,0,11.85,75.1,450,8.3,3735
12,22,1,19,12,0,11.66,75.5,706,8.8,6212.8
17,22,3,21,12,0,11.55,76.1,888,8.7,7725.6
11,23,2,9,1,0,11.6,75.1,509,7.6,3868.4
20,22,1,3,1,0,11.17,77.8,557,8.8,4901.6
19,23,0,16,1,0,10.83,78.5,572,8.5,4862
12,22,0,9,1,0,10.74,78.6,494,7.9,3902.6
7,20,3,13,1,0,10.57,80.3,508,8.9,4521.2
10,19,2,10,1,0,10.49,80.3,542,7.7,4173.4
21,22,2,15,1,0,10.69,81.6,436,7.8,3400.8
11,23,1,13,12,0,11.22,80,665,7.7,5120.5
6,23,1,22,1,0,11.36,77.9,362,8.2,2968.4
20,23,1,14,1,0,11.44,77.5,658,7.7,5066.6
22,22,2,15,1,0,11.49,76.7,690,9.2,6348
17,23,0,11,1,0,11.33,76.8,521,8.3,4324.3
8,20,1,7,1,0,11.16,77.3,474,8.5,4029
8,18,2,21,1,0,10.89,77.5,553,7.9,4368.7
16,23,2,5,1,0,10.27,80.2,462,8.9,4111.8
21,23,2,11,1,0,10.15,80.8,584,8.3,4847.2
5,19,1,3,1,0,10,81.6,387,7.7,2979.9
9,23,2,5,1,0,9.9,81.5,341,7.4,2523.4
5,18,0,5,1,0,9.67,81.6,375,7.8,2925
23,22,1,16,1,0,9.27,81.5,610,8.4,5124
23,23,0,11,1,0,9.03,81.8,485,7.6,3686
11,23,1,11,1,0,8.85,82.7,452,9.2,4158.4
13,23,3,7,1,0,8.68,83.1,605,9.1,5505.5
21,23,1,4,1,0,8.54,83.7,508,7.6,3860.8
13,22,1,7,1,0,8.38,84.9,432,8.2,3542.4
23,23,3,8,1,0,8.5,84.9,445,8.9,3960.5
8,17,3,3,1,0,8.48,85.7,376,8.8,3308.8
21,23,2,17,1,0,8.4,85.3,689,8.5,5856.5
